study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	sample_alias	sample_title
PRJNA436454	SAMN08626085	SRX3781112	SRR6824285	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6824285/SRR6824285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6824285/SRR6824285_2.fastq.gz	MDR_2166	MDR_2166
PRJNA436454	SAMN08626303	SRX3781111	SRR6824286	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/006/SRR6824286/SRR6824286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/006/SRR6824286/SRR6824286_2.fastq.gz	MDR_19466	MDR_19466
PRJNA436454	SAMN08626302	SRX3781110	SRR6824287	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/007/SRR6824287/SRR6824287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/007/SRR6824287/SRR6824287_2.fastq.gz	MDR_19441	MDR_19441
PRJNA436454	SAMN08626305	SRX3781109	SRR6824288	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/008/SRR6824288/SRR6824288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/008/SRR6824288/SRR6824288_2.fastq.gz	MDR_20161	MDR_20161
PRJNA436454	SAMN08626304	SRX3781108	SRR6824289	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/009/SRR6824289/SRR6824289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/009/SRR6824289/SRR6824289_2.fastq.gz	MDR_20137	MDR_20137
PRJNA436454	SAMN08626064	SRX3781107	SRR6824290	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/000/SRR6824290/SRR6824290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/000/SRR6824290/SRR6824290_2.fastq.gz	MDR_20165	MDR_20165
PRJNA436454	SAMN08626306	SRX3781106	SRR6824291	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/001/SRR6824291/SRR6824291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/001/SRR6824291/SRR6824291_2.fastq.gz	MDR_20163	MDR_20163
PRJNA436454	SAMN08626084	SRX3781105	SRR6824292	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/002/SRR6824292/SRR6824292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/002/SRR6824292/SRR6824292_2.fastq.gz	MDR_2115	MDR_2115
PRJNA436454	SAMN08626307	SRX3781104	SRR6824293	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/003/SRR6824293/SRR6824293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/003/SRR6824293/SRR6824293_2.fastq.gz	MDR_20217	MDR_20217
PRJNA436454	SAMN08626168	SRX3781103	SRR6824294	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/004/SRR6824294/SRR6824294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/004/SRR6824294/SRR6824294_2.fastq.gz	MDR_10138	MDR_10138
