run,amikacin,bioproject,biosample,capreomycin,ciprofloxacin,delamanid,ethambutol,ethionamide,gatifloxacin,isoniazid,kanamycin,levofloxacin,moxifloxacin,ofloxacin,para-aminosalicylic_acid,pyrazinamide,rifampicin,streptomycin
ERR036186,nan,PRJEB2358,SAMEA897802,nan,,nan,S,,nan,S,nan,nan,nan,nan,,S,S,S
ERR036187,nan,PRJEB2358,SAMEA897777,nan,,nan,S,,nan,S,nan,nan,nan,nan,,nan,S,S
ERR036188,nan,PRJEB2358,SAMEA897778,nan,,nan,R,,nan,R,nan,nan,nan,nan,,R,S,R
ERR036189,nan,PRJEB2358,SAMEA897779,nan,,nan,S,,nan,S,nan,nan,nan,nan,,nan,S,S
ERR036190,nan,PRJEB2358,SAMEA897805,nan,,nan,S,,nan,S,nan,nan,nan,nan,,nan,S,S
ERR036193,nan,PRJEB2358,SAMEA897800,nan,,nan,S,,nan,S,nan,nan,nan,nan,,S,S,S
ERR036195,nan,PRJEB2358,SAMEA897774,nan,,nan,S,,nan,S,nan,nan,nan,nan,,nan,S,R
ERR036196,nan,PRJEB2358,SAMEA897775,nan,,nan,S,,nan,S,nan,nan,nan,nan,,nan,S,S
ERR036197,nan,PRJEB2358,SAMEA897776,nan,,nan,S,,nan,S,nan,nan,nan,nan,,nan,S,S
ERR036199,nan,PRJEB2358,SAMEA897780,nan,,nan,S,,nan,S,nan,nan,nan,nan,,nan,S,S
ERR036201,nan,PRJEB2358,SAMEA897758,nan,,nan,S,,nan,S,nan,nan,nan,nan,,S,S,S
ERR036202,nan,PRJEB2358,SAMEA897769,nan,,nan,S,,nan,S,nan,nan,nan,nan,,S,S,S
ERR036203,nan,PRJEB2358,SAMEA897771,nan,,nan,S,,nan,R,nan,nan,nan,nan,,nan,S,S
ERR036204,nan,PRJEB2358,SAMEA897772,nan,,nan,S,,nan,S,nan,nan,nan,nan,,nan,S,S
ERR036205,nan,PRJEB2358,SAMEA897765,nan,,nan,S,,nan,S,nan,nan,nan,nan,,nan,S,S
ERR036206,nan,PRJEB2358,SAMEA897826,nan,,nan,S,,nan,S,nan,nan,nan,nan,,nan,S,S
ERR036210,nan,PRJEB2358,SAMEA897760,nan,,nan,S,,nan,S,nan,nan,nan,nan,,nan,S,S
ERR036212,nan,PRJEB2358,SAMEA897768,nan,,nan,S,,nan,S,nan,nan,nan,nan,,S,S,S
ERR036214,nan,PRJEB2358,SAMEA897864,nan,,nan,S,,nan,S,nan,nan,nan,nan,,S,S,S
ERR036217,nan,PRJEB2358,SAMEA897848,nan,,nan,S,,nan,S,nan,nan,nan,nan,,S,S,S
ERR036218,nan,PRJEB2358,SAMEA897845,nan,,nan,S,,nan,S,nan,nan,nan,nan,,S,S,S
ERR036219,nan,PRJEB2358,SAMEA897846,nan,,nan,S,,nan,S,nan,nan,nan,nan,,S,S,S
ERR036220,nan,PRJEB2358,SAMEA897898,nan,,nan,S,,nan,S,nan,nan,nan,nan,,S,S,S
ERR036221,nan,PRJEB2358,SAMEA897811,nan,,nan,S,,nan,S,nan,nan,nan,nan,,S,S,S
ERR036222,nan,PRJEB2358,SAMEA897849,nan,,nan,S,,nan,S,nan,nan,nan,nan,,S,S,S
ERR036223,nan,PRJEB2358,SAMEA897850,nan,,nan,S,,nan,S,nan,nan,nan,nan,,S,S,S
ERR036227,nan,PRJEB2358,SAMEA897861,nan,,nan,S,,nan,S,nan,nan,nan,nan,,S,S,S
ERR036228,nan,PRJEB2358,SAMEA897862,nan,,nan,S,,nan,S,nan,nan,nan,nan,,S,S,S
