accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR18897180	SRP276100	new	PRJNA650381	SAMN27743954	IDR1900016129-01-02	A92	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900016129-01-02_R1.fastq.gz	IDR1900016129-01-02_R2.fastq.gz				
SRR18897179	SRP276100	new	PRJNA650381	SAMN27743955	IDR1900022519-01-02	A93	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900022519-01-02_R1.fastq.gz	IDR1900022519-01-02_R2.fastq.gz				
SRR18897168	SRP276100	new	PRJNA650381	SAMN27743956	IDR1900028264-01-02	A94	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900028264-01-02_R1.fastq.gz	IDR1900028264-01-02_R2.fastq.gz				
SRR18897167	SRP276100	new	PRJNA650381	SAMN27743957	IDR1900028932-01-02	A95	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900028932-01-02_R1.fastq.gz	IDR1900028932-01-02_R2.fastq.gz				
SRR18897166	SRP276100	new	PRJNA650381	SAMN27743958	IDR1900029271-01-02	A96	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900029271-01-02_R1.fastq.gz	IDR1900029271-01-02_R2.fastq.gz				
SRR18897165	SRP276100	new	PRJNA650381	SAMN27743959	IDR1900029419-01-02	A97	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900029419-01-02_R1.fastq.gz	IDR1900029419-01-02_R2.fastq.gz				
SRR18897164	SRP276100	new	PRJNA650381	SAMN27743960	IDR1900029422-01-01	A98	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900029422-01-01_R1.fastq.gz	IDR1900029422-01-01_R2.fastq.gz				
SRR18897163	SRP276100	new	PRJNA650381	SAMN27743961	IDR1900029427-01-01	A99	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900029427-01-01_R1.fastq.gz	IDR1900029427-01-01_R2.fastq.gz				
SRR18897162	SRP276100	new	PRJNA650381	SAMN27743962	IDR1900029655-01-01	A100	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900029655-01-01_R1.fastq.gz	IDR1900029655-01-01_R2.fastq.gz				
SRR18897161	SRP276100	new	PRJNA650381	SAMN27743963	IDR1900029656-01-01	A101	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900029656-01-01_R1.fastq.gz	IDR1900029656-01-01_R2.fastq.gz				
SRR18897178	SRP276100	new	PRJNA650381	SAMN27743964	IDR1900029809-01-01	A102	Illumina TB WGS	WGS	GENOMIC	RANDOM	Paired	Illumina	Illumina MiSeq	WGS of purified isolate	fastq	IDR1900029809-01-01_R1.fastq.gz	IDR1900029809-01-01_R2.fastq.gz				
