#Sample.sample_id,Isolate.isolate_id,Seqrep.ena_run_accession,Isolate.ena_experiment_accession,Sample.ena_sample_accession,Sample.ena_study_accession,Pipeline_output,vcf
225,225,ERR067576,None,SAMEA1015921,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/00/02/25/225,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
226,226,ERR067718,None,SAMEA1015922,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/00/02/26/226,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
227,227,ERR067740,None,SAMEA1015923,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/00/02/27/227,Pipelines/1/variant_call/0.7.3.ref.3/minos/final.vcf
230,230,ERR067613,None,SAMEA1015929,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/00/02/30/230,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
231,231,ERR067577,None,SAMEA1015931,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/00/02/31/231,Pipelines/1/variant_call/0.7.3.ref.3/minos/final.vcf
232,232,ERR067692,None,SAMEA1015932,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/00/02/32/232,Pipelines/1/variant_call/0.5.2.ref.3/minos/final.vcf
233,233,ERR067595,None,SAMEA1015933,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/00/02/33/233,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
234,234,ERR067670,None,SAMEA1015935,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/00/02/34/234,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
235,235,ERR067678,None,SAMEA1015936,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/00/02/35/235,Pipelines/1/variant_call/0.5.2.ref.3/minos/final.vcf
236,236,ERR067679,None,SAMEA1015937,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/00/02/36/236,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
237,237,ERR067767,None,SAMEA1015939,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/00/02/37/237,Pipelines/1/variant_call/0.5.2.ref.3/minos/final.vcf
238,238,ERR067615,None,SAMEA1015940,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/00/02/38/238,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
241,241,ERR067671,None,SAMEA1015943,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/00/02/41/241,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
242,242,ERR067614,None,SAMEA1015944,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/00/02/42/242,Pipelines/1/variant_call/0.7.3.ref.3/minos/final.vcf
