bioproject,study,biosample,sample,experiment,run,amikacin,bedaquiline,capreomycin,clofazimine,delamanid,ethionamide,ethambutol,isoniazid,kanamycin,levofloxacin,linezolid,moxifloxacin,pyrazinamide,rifampicin,streptomycin

PRJEB26001,,,ERS2401626,ERX2536164,ERR2516949,S,,S,,,,,R,R,S,,S,,R,
PRJEB26001,,,ERS2401620,ERX2536158,ERR2516943,S,,S,,,,R,R,R,R,,R,,R,
PRJEB26001,,,ERS2401687,ERX2536225,ERR2517010,S,,S,,,,,R,S,R,,R,,R,
PRJEB26001,,,ERS2401501,ERX2536039,ERR2516824,S,,S,,,,R,R,S,R,,R,,R,
PRJEB26001,,,ERS2401518,ERX2536056,ERR2516841,S,,S,,,,R,R,S,R,,R,,R,
PRJEB26001,,,ERS2401707,ERX2536245,ERR2517030,,,,,,,S,S,,,,,,S,
PRJEB26001,,,ERS2401724,ERX2536262,ERR2517047,R,,R,,,,R,R,R,R,,R,,R,
PRJEB26001,,,ERS2401744,ERX2536282,ERR2517067,S,,S,,,,,R,S,S,,S,,R,
PRJEB26001,,,ERS2401458,ERX2535996,ERR2516781,S,,S,,,,R,R,S,R,,R,,R,
PRJEB26001,,,ERS2401763,ERX2536301,ERR2517086,,,,,,,,R,,,,,,R,
PRJEB26001,,,ERS2401479,ERX2536017,ERR2516802,S,,S,,,,,R,S,S,,S,,R,
PRJEB26001,,,ERS2401524,ERX2536062,ERR2516847,S,,S,,,,,R,S,S,,S,,R,
PRJEB26001,,,ERS2401590,ERX2536128,ERR2516913,S,,S,,,,S,R,S,S,,S,,R,
PRJEB26001,,,ERS2401527,ERX2536065,ERR2516850,S,,S,,,,,R,S,S,,S,,R,
PRJEB26001,,,ERS2401734,ERX2536272,ERR2517057,S,,S,,,,,R,S,S,,S,,R,
PRJEB26001,,,ERS2401619,ERX2536157,ERR2516942,S,,S,,,,,R,S,S,,S,,R,
PRJEB26001,,,ERS2401500,ERX2536038,ERR2516823,S,,S,,,,S,R,S,S,,S,,R,
PRJEB26001,,,ERS2401473,ERX2536011,ERR2516796,,,,,,,S,S,,,,,,S,
PRJEB26001,,,ERS2401491,ERX2536029,ERR2516814,S,,S,,,,S,R,S,S,,S,,R,
PRJEB26001,,,ERS2401459,ERX2535997,ERR2516782,S,,S,,,,S,R,S,S,,S,,R,
PRJEB26001,,,ERS2401605,ERX2536143,ERR2516928,S,,S,,,,S,R,S,S,,S,,R,
PRJEB26001,,,ERS2401681,ERX2536219,ERR2517004,R,,S,,,,R,R,R,R,,R,,R,
PRJEB26001,,,ERS2401607,ERX2536145,ERR2516930,,,,,,,S,S,,,,,,S,
PRJEB26001,,,ERS2401586,ERX2536124,ERR2516909,S,,S,,,,S,R,S,S,,S,,R,
PRJEB26001,,,ERS2401494,ERX2536032,ERR2516817,S,,S,,,,S,R,S,S,,S,,R,
PRJEB26001,,,ERS2401592,ERX2536130,ERR2516915,S,,S,,,,,R,S,S,,S,,R,
PRJEB26001,,,ERS2401786,ERX2536324,ERR2517109,,,,,,,S,S,,,,,,S,
PRJEB26001,,,ERS2401504,ERX2536042,ERR2516827,S,,S,,,,S,R,S,S,,S,,R,
PRJEB26001,,,ERS2401762,ERX2536300,ERR2517085,S,,S,,,,S,R,S,S,,S,,R,
