ena_project,ena_sample,ena_experiment,ena_run
PRJEB26001,ERS2401626,ERX2536164,ERR2516949
PRJEB26001,ERS2401620,ERX2536158,ERR2516943
PRJEB26001,ERS2401687,ERX2536225,ERR2517010
PRJEB26001,ERS2401501,ERX2536039,ERR2516824
PRJEB26001,ERS2401518,ERX2536056,ERR2516841
PRJEB26001,ERS2401707,ERX2536245,ERR2517030
PRJEB26001,ERS2401724,ERX2536262,ERR2517047
PRJEB26001,ERS2401744,ERX2536282,ERR2517067
PRJEB26001,ERS2401458,ERX2535996,ERR2516781
PRJEB26001,ERS2401763,ERX2536301,ERR2517086
PRJEB26001,ERS2401479,ERX2536017,ERR2516802
PRJEB26001,ERS2401524,ERX2536062,ERR2516847
PRJEB26001,ERS2401590,ERX2536128,ERR2516913
PRJEB26001,ERS2401527,ERX2536065,ERR2516850
PRJEB26001,ERS2401734,ERX2536272,ERR2517057
PRJEB26001,ERS2401619,ERX2536157,ERR2516942
PRJEB26001,ERS2401500,ERX2536038,ERR2516823
PRJEB26001,ERS2401473,ERX2536011,ERR2516796
PRJEB26001,ERS2401491,ERX2536029,ERR2516814
PRJEB26001,ERS2401459,ERX2535997,ERR2516782
PRJEB26001,ERS2401605,ERX2536143,ERR2516928
PRJEB26001,ERS2401681,ERX2536219,ERR2517004
PRJEB26001,ERS2401607,ERX2536145,ERR2516930
PRJEB26001,ERS2401586,ERX2536124,ERR2516909
PRJEB26001,ERS2401494,ERX2536032,ERR2516817
PRJEB26001,ERS2401592,ERX2536130,ERR2516915
PRJEB26001,ERS2401786,ERX2536324,ERR2517109
PRJEB26001,ERS2401504,ERX2536042,ERR2516827
PRJEB26001,ERS2401762,ERX2536300,ERR2517085
PRJEB26001,ERS2401516,ERX2536054,ERR2516839
PRJEB26001,ERS2401441,ERX2535979,ERR2516764
PRJEB26001,ERS2401548,ERX2536086,ERR2516871
PRJEB26001,ERS2401557,ERX2536095,ERR2516880
PRJEB26001,ERS2401582,ERX2536120,ERR2516905
PRJEB26001,ERS2401719,ERX2536257,ERR2517042
PRJEB26001,ERS2401800,ERX2536338,ERR2517123
PRJEB26001,ERS2401529,ERX2536067,ERR2516852
PRJEB26001,ERS2401563,ERX2536101,ERR2516886
PRJEB26001,ERS2401588,ERX2536126,ERR2516911
PRJEB26001,ERS2401488,ERX2536026,ERR2516811
PRJEB26001,ERS2401767,ERX2536305,ERR2517090
PRJEB26001,ERS2401658,ERX2536196,ERR2516981
PRJEB26001,ERS2401665,ERX2536203,ERR2516988
PRJEB26001,ERS2401419,ERX2535957,ERR2516742
PRJEB26001,ERS2401627,ERX2536165,ERR2516950
PRJEB26001,ERS2401798,ERX2536336,ERR2517121
PRJEB26001,ERS2401731,ERX2536269,ERR2517054
PRJEB26001,ERS2401656,ERX2536194,ERR2516979
PRJEB26001,ERS2401455,ERX2535993,ERR2516778
PRJEB26001,ERS2401718,ERX2536256,ERR2517041
PRJEB26001,ERS2401571,ERX2536109,ERR2516894
PRJEB26001,ERS2401587,ERX2536125,ERR2516910
PRJEB26001,ERS2401575,ERX2536113,ERR2516898
PRJEB26001,ERS2401791,ERX2536329,ERR2517114
PRJEB26001,ERS2401802,ERX2536340,ERR2517125
PRJEB26001,ERS2401603,ERX2536141,ERR2516926
PRJEB26001,ERS2401693,ERX2536231,ERR2517016
PRJEB26001,ERS2401507,ERX2536045,ERR2516830
PRJEB26001,ERS2401735,ERX2536273,ERR2517058
PRJEB26001,ERS2401550,ERX2536088,ERR2516873
PRJEB26001,ERS2401546,ERX2536084,ERR2516869
PRJEB26001,ERS2401453,ERX2535991,ERR2516776
PRJEB26001,ERS2401596,ERX2536134,ERR2516919
PRJEB26001,ERS2401725,ERX2536263,ERR2517048
PRJEB26001,ERS2401532,ERX2536070,ERR2516855
PRJEB26001,ERS2401711,ERX2536249,ERR2517034
PRJEB26001,ERS2401492,ERX2536030,ERR2516815
PRJEB26001,ERS2401610,ERX2536148,ERR2516933
PRJEB26001,ERS2401623,ERX2536161,ERR2516946
PRJEB26001,ERS2401759,ERX2536297,ERR2517082
PRJEB26001,ERS2401669,ERX2536207,ERR2516992
PRJEB26001,ERS2401611,ERX2536149,ERR2516934
PRJEB26001,ERS2401461,ERX2535999,ERR2516784
PRJEB26001,ERS2401478,ERX2536016,ERR2516801
PRJEB26001,ERS2401523,ERX2536061,ERR2516846
PRJEB26001,ERS2401636,ERX2536174,ERR2516959
PRJEB26001,ERS2401752,ERX2536290,ERR2517075
PRJEB26001,ERS2401597,ERX2536135,ERR2516920
PRJEB26001,ERS2401624,ERX2536162,ERR2516947
PRJEB26001,ERS2401427,ERX2535965,ERR2516750
PRJEB26001,ERS2401614,ERX2536152,ERR2516937
PRJEB26001,ERS2401652,ERX2536190,ERR2516975
PRJEB26001,ERS2401732,ERX2536270,ERR2517055
PRJEB26001,ERS2401764,ERX2536302,ERR2517087
PRJEB26001,ERS2401449,ERX2535987,ERR2516772
PRJEB26001,ERS2401661,ERX2536199,ERR2516984
PRJEB26001,ERS2401433,ERX2535971,ERR2516756
PRJEB26001,ERS2401599,ERX2536137,ERR2516922
PRJEB26001,ERS2401741,ERX2536279,ERR2517064
PRJEB26001,ERS2401677,ERX2536215,ERR2517000
PRJEB26001,ERS2401448,ERX2535986,ERR2516771
PRJEB26001,ERS2401690,ERX2536228,ERR2517013
PRJEB26001,ERS2401502,ERX2536040,ERR2516825
PRJEB26001,ERS2401784,ERX2536322,ERR2517107
PRJEB26001,ERS2401783,ERX2536321,ERR2517106
PRJEB26001,ERS2401602,ERX2536140,ERR2516925
PRJEB26001,ERS2401566,ERX2536104,ERR2516889
PRJEB26001,ERS2401695,ERX2536233,ERR2517018
PRJEB26001,ERS2401483,ERX2536021,ERR2516806
PRJEB26001,ERS2401585,ERX2536123,ERR2516908
PRJEB26001,ERS2401498,ERX2536036,ERR2516821
PRJEB26001,ERS2401609,ERX2536147,ERR2516932
PRJEB26001,ERS2401517,ERX2536055,ERR2516840
PRJEB26001,ERS2401646,ERX2536184,ERR2516969
PRJEB26001,ERS2401540,ERX2536078,ERR2516863
PRJEB26001,ERS2401788,ERX2536326,ERR2517111
PRJEB26001,ERS2401460,ERX2535998,ERR2516783
PRJEB26001,ERS2401496,ERX2536034,ERR2516819
PRJEB26001,ERS2401470,ERX2536008,ERR2516793
PRJEB26001,ERS2401536,ERX2536074,ERR2516859
PRJEB26001,ERS2401684,ERX2536222,ERR2517007
PRJEB26001,ERS2401421,ERX2535959,ERR2516744
PRJEB26001,ERS2401439,ERX2535977,ERR2516762
PRJEB26001,ERS2401486,ERX2536024,ERR2516809
PRJEB26001,ERS2401480,ERX2536018,ERR2516803
PRJEB26001,ERS2401703,ERX2536241,ERR2517026
PRJEB26001,ERS2401793,ERX2536331,ERR2517116
PRJEB26001,ERS2401657,ERX2536195,ERR2516980
PRJEB26001,ERS2401771,ERX2536309,ERR2517094
PRJEB26001,ERS2401545,ERX2536083,ERR2516868
PRJEB26001,ERS2401574,ERX2536112,ERR2516897
PRJEB26001,ERS2401639,ERX2536177,ERR2516962
PRJEB26001,ERS2401737,ERX2536275,ERR2517060
PRJEB26001,ERS2401714,ERX2536252,ERR2517037
PRJEB26001,ERS2401713,ERX2536251,ERR2517036
PRJEB26001,ERS2401712,ERX2536250,ERR2517035
PRJEB26001,ERS2401670,ERX2536208,ERR2516993
PRJEB26001,ERS2401451,ERX2535989,ERR2516774
PRJEB26001,ERS2401463,ERX2536001,ERR2516786
PRJEB26001,ERS2401445,ERX2535983,ERR2516768
PRJEB26001,ERS2401554,ERX2536092,ERR2516877
PRJEB26001,ERS2401535,ERX2536073,ERR2516858
PRJEB26001,ERS2401638,ERX2536176,ERR2516961
PRJEB26001,ERS2401484,ERX2536022,ERR2516807
PRJEB26001,ERS2401727,ERX2536265,ERR2517050
PRJEB26001,ERS2401552,ERX2536090,ERR2516875
PRJEB26001,ERS2401682,ERX2536220,ERR2517005
PRJEB26001,ERS2401729,ERX2536267,ERR2517052
PRJEB26001,ERS2401533,ERX2536071,ERR2516856
PRJEB26001,ERS2401641,ERX2536179,ERR2516964
PRJEB26001,ERS2401456,ERX2535994,ERR2516779
PRJEB26001,ERS2401628,ERX2536166,ERR2516951
PRJEB26001,ERS2401432,ERX2535970,ERR2516755
PRJEB26001,ERS2401537,ERX2536075,ERR2516860
PRJEB26001,ERS2401555,ERX2536093,ERR2516878
PRJEB26001,ERS2401551,ERX2536089,ERR2516874
PRJEB26001,ERS2401758,ERX2536296,ERR2517081
PRJEB26001,ERS2401468,ERX2536006,ERR2516791
PRJEB26001,ERS2401579,ERX2536117,ERR2516902
PRJEB26001,ERS2401562,ERX2536100,ERR2516885
PRJEB26001,ERS2401513,ERX2536051,ERR2516836
PRJEB26001,ERS2401426,ERX2535964,ERR2516749
PRJEB26001,ERS2401617,ERX2536155,ERR2516940
PRJEB26001,ERS2401679,ERX2536217,ERR2517002
PRJEB26001,ERS2401633,ERX2536171,ERR2516956
PRJEB26001,ERS2401746,ERX2536284,ERR2517069
PRJEB26001,ERS2401591,ERX2536129,ERR2516914
PRJEB26001,ERS2401417,ERX2535955,ERR2516740
PRJEB26001,ERS2401736,ERX2536274,ERR2517059
PRJEB26001,ERS2401423,ERX2535961,ERR2516746
PRJEB26001,ERS2401474,ERX2536012,ERR2516797
PRJEB26001,ERS2401792,ERX2536330,ERR2517115
PRJEB26001,ERS2401662,ERX2536200,ERR2516985
PRJEB26001,ERS2401581,ERX2536119,ERR2516904
PRJEB26001,ERS2401469,ERX2536007,ERR2516792
PRJEB26001,ERS2401708,ERX2536246,ERR2517031
PRJEB26001,ERS2401781,ERX2536319,ERR2517104
PRJEB26001,ERS2401801,ERX2536339,ERR2517124
PRJEB26001,ERS2401490,ERX2536028,ERR2516813
PRJEB26001,ERS2401660,ERX2536198,ERR2516983
PRJEB26001,ERS2401442,ERX2535980,ERR2516765
PRJEB26001,ERS2401688,ERX2536226,ERR2517011
PRJEB26001,ERS2401549,ERX2536087,ERR2516872
PRJEB26001,ERS2401765,ERX2536303,ERR2517088
PRJEB26001,ERS2401653,ERX2536191,ERR2516976
PRJEB26001,ERS2401769,ERX2536307,ERR2517092
PRJEB26001,ERS2401748,ERX2536286,ERR2517071
PRJEB26001,ERS2401777,ERX2536315,ERR2517100
PRJEB26001,ERS2401644,ERX2536182,ERR2516967
PRJEB26001,ERS2401547,ERX2536085,ERR2516870
PRJEB26001,ERS2401472,ERX2536010,ERR2516795
PRJEB26001,ERS2401565,ERX2536103,ERR2516888
PRJEB26001,ERS2401640,ERX2536178,ERR2516963
PRJEB26001,ERS2401790,ERX2536328,ERR2517113
PRJEB26001,ERS2401794,ERX2536332,ERR2517117
PRJEB26001,ERS2401519,ERX2536057,ERR2516842
PRJEB26001,ERS2401723,ERX2536261,ERR2517046
PRJEB26001,ERS2401530,ERX2536068,ERR2516853
PRJEB26001,ERS2401796,ERX2536334,ERR2517119
PRJEB26001,ERS2401495,ERX2536033,ERR2516818
PRJEB26001,ERS2401716,ERX2536254,ERR2517039
PRJEB26001,ERS2401728,ERX2536266,ERR2517051
PRJEB26001,ERS2401608,ERX2536146,ERR2516931
PRJEB26001,ERS2401572,ERX2536110,ERR2516895
PRJEB26001,ERS2401654,ERX2536192,ERR2516977
PRJEB26001,ERS2401702,ERX2536240,ERR2517025
PRJEB26001,ERS2401773,ERX2536311,ERR2517096
PRJEB26001,ERS2401678,ERX2536216,ERR2517001
PRJEB26001,ERS2401772,ERX2536310,ERR2517095
PRJEB26001,ERS2401497,ERX2536035,ERR2516820
PRJEB26001,ERS2401630,ERX2536168,ERR2516953
PRJEB26001,ERS2401465,ERX2536003,ERR2516788
PRJEB26001,ERS2401570,ERX2536108,ERR2516893
PRJEB26001,ERS2401542,ERX2536080,ERR2516865
PRJEB26001,ERS2401477,ERX2536015,ERR2516800
PRJEB26001,ERS2401674,ERX2536212,ERR2516997
PRJEB26001,ERS2401663,ERX2536201,ERR2516986
PRJEB26001,ERS2401503,ERX2536041,ERR2516826
